id;thumbnail;thumbnail_content_type;thumbnail_s_3_key;content;content_content_type;content_s_3_key;duration;is_preview;created_date;last_modified_date;created_by;last_modified_by;deleted_date;creator_id
1;../fake-data/blob/hipster.png;image/png;intro_clip_thumb;../fake-data/blob/hipster.mp3;mpeg/audio;intro_clip_audio;185;false;2025-12-10T10:15:00;2025-12-10T12:05:00;audio.seed;audio.editor;;1
2;../fake-data/blob/hipster.png;image/png;promo_snippet_thumb;../fake-data/blob/hipster.mp3;mpeg/audio;promo_snippet_audio;242;true;2025-12-11T08:22:00;2025-12-11T09:10:00;creator.bot;quality.check;;2
3;../fake-data/blob/hipster.png;image/png;ambient_loop_thumb;../fake-data/blob/hipster.mp3;mpeg/audio;ambient_loop_audio;120;false;2025-12-09T14:00:00;2025-12-09T16:45:00;uplink;producer.team;;3
4;../fake-data/blob/hipster.png;image/png;teaser_intro_thumb;../fake-data/blob/hipster.mp3;mpeg/audio;teaser_intro_audio;210;true;2025-12-12T07:40:00;2025-12-12T09:15:00;session.runner;reviewer.one;;4
5;../fake-data/blob/hipster.png;image/png;live_take_thumb;../fake-data/blob/hipster.mp3;mpeg/audio;live_take_audio;305;false;2025-12-13T11:20:00;2025-12-13T12:10:00;ops.user;ops.reviewer;;5
6;../fake-data/blob/hipster.png;image/png;behind_scenes_thumb;../fake-data/blob/hipster.mp3;mpeg/audio;behind_scenes_audio;410;true;2025-12-14T09:05:00;2025-12-14T10:00:00;studio.helper;editorial.pass;;6
7;../fake-data/blob/hipster.png;image/png;loop_pack_thumb;../fake-data/blob/hipster.mp3;mpeg/audio;loop_pack_audio;95;false;2025-12-10T18:30:00;2025-12-10T20:05:00;mix.lab;mix.audit;;7
8;../fake-data/blob/hipster.png;image/png;chorus_cut_thumb;../fake-data/blob/hipster.mp3;mpeg/audio;chorus_cut_audio;142;true;2025-12-15T10:10:00;2025-12-15T11:45:00;draft.writer;draft.reviewer;;8
9;../fake-data/blob/hipster.png;image/png;longform_take_thumb;../fake-data/blob/hipster.mp3;mpeg/audio;longform_take_audio;188;false;2025-12-16T13:25:00;2025-12-16T14:40:00;capture.bot;capture.qc;;9
10;../fake-data/blob/hipster.png;image/png;alt_version_thumb;../fake-data/blob/hipster.mp3;mpeg/audio;alt_version_audio;260;true;2025-12-17T07:50:00;2025-12-17T09:05:00;arranger.ai;arranger.qc;;10
