id;title;content;created_date;last_modified_date;created_by;last_modified_by;deleted_date
1;pregunta1;../fake-data/blob/hipster.txt;2025-12-15T13:38:36;2025-12-16T06:03:39;system;system;
2;pregunta2;../fake-data/blob/hipster.txt;2025-12-15T18:43:37;2025-12-15T14:10:07;system;system;
3;pregunta3;../fake-data/blob/hipster.txt;2025-12-16T02:43:23;;system;;
4;pregunta4;../fake-data/blob/hipster.txt;2025-12-15T22:49:29;2025-12-15T16:53:39;system;system;
5;pregunta5;../fake-data/blob/hipster.txt;2025-12-16T05:53:20;2025-12-15T22:12:28;system;system;
6;pregunta6;../fake-data/blob/hipster.txt;2025-12-15T19:15:19;2025-12-15T23:09:39;system;system;
7;pregunta7;../fake-data/blob/hipster.txt;2025-12-16T00:22:42;2025-12-15T12:42:46;system;system;
8;pregunta8;../fake-data/blob/hipster.txt;2025-12-15T11:27:28;2025-12-15T22:04:25;system;system;
9;pregunta9;../fake-data/blob/hipster.txt;2025-12-15T09:42:41;2025-12-15T10:34:34;system;system;
10;pregunta10;../fake-data/blob/hipster.txt;2025-12-15T16:10:39;2025-12-16T03:37:55;system;system;
